C87–O71 (Å),Relative Energy (kcal/mol),Absolute Energy (Hartree)
2.587,4.091362591996707,-164.779123
2.53,4.0656346983903235,-164.779164
2.473,4.083204967199468,-164.779136
2.415,4.1465834367999665,-164.779035
2.358,4.263300222390644,-164.778849
2.301,4.435865362400831,-164.778574
2.244,4.663023837598027,-164.778212
2.187,4.947285686393731,-164.777759
2.129,5.284258341599032,-164.777222
2.072,5.672686783999263,-164.776603
2.015,6.1100609752007635,-164.775906
1.958,6.59010581920154,-164.775141
1.9,7.107801239196432,-164.774316
1.843,6.5229622919927115,-164.775248
1.786,5.640056284792474,-164.776655
1.729,4.813626141592326,-164.777972
1.672,4.082577457601052,-164.779137
1.614,0.9368718327888322,-164.78415
1.557,0.2346885903960198,-164.785269
1.5,0,-164.785643